workspace,branch,latest_runtime_checkpoint_sha,current_git_head_verified_live_during_session,working_tree_status,staged_status,file_action,relative_path,previous_path,created_by_recovery,currently_modified,committed,commit_sha,workstream,purpose,validation,classification,intended_for_canonical_product,needs_review,notes
/Users/blackforge/workspace/bwe/repos/repo_clean,friday-release-candidate,0ccea48737dd2ff8d8b96bf7d00c59080e765161,c890bb30f410d7a9234aab017b4f965b39f11035,untracked,?,untracked,.tmp/adminFinanceSummary-testable.mjs,,no,no,no,,tmp,local proof or scratch artifact,,LOCAL_PROOF,no,yes,
/Users/blackforge/workspace/bwe/repos/repo_clean,friday-release-candidate,0ccea48737dd2ff8d8b96bf7d00c59080e765161,c890bb30f410d7a9234aab017b4f965b39f11035,untracked,?,untracked,.tmp/directoryOwnership-env-stub.mjs,,no,no,no,,tmp,local proof or scratch artifact,,LOCAL_PROOF,no,yes,
/Users/blackforge/workspace/bwe/repos/repo_clean,friday-release-candidate,0ccea48737dd2ff8d8b96bf7d00c59080e765161,c890bb30f410d7a9234aab017b4f965b39f11035,untracked,?,untracked,.tmp/directoryOwnership-testable.mjs,,no,no,no,,tmp,local proof or scratch artifact,,LOCAL_PROOF,no,yes,
/Users/blackforge/workspace/bwe/repos/repo_clean,friday-release-candidate,0ccea48737dd2ff8d8b96bf7d00c59080e765161,c890bb30f410d7a9234aab017b4f965b39f11035,untracked,?,untracked,.tmp/directoryProfileContract-testable.mjs,,no,no,no,,tmp,local proof or scratch artifact,,LOCAL_PROOF,no,yes,
/Users/blackforge/workspace/bwe/repos/repo_clean,friday-release-candidate,0ccea48737dd2ff8d8b96bf7d00c59080e765161,c890bb30f410d7a9234aab017b4f965b39f11035,untracked,?,untracked,.tmp/directoryPublicVisibility-testable.mjs,,no,no,no,,tmp,local proof or scratch artifact,,LOCAL_PROOF,no,yes,
/Users/blackforge/workspace/bwe/repos/repo_clean,friday-release-candidate,0ccea48737dd2ff8d8b96bf7d00c59080e765161,c890bb30f410d7a9234aab017b4f965b39f11035,untracked,?,untracked,.tmp/founding-membership-testable.mjs,,no,no,no,,tmp,local proof or scratch artifact,,LOCAL_PROOF,no,yes,
/Users/blackforge/workspace/bwe/repos/repo_clean,friday-release-candidate,0ccea48737dd2ff8d8b96bf7d00c59080e765161,c890bb30f410d7a9234aab017b4f965b39f11035,untracked,?,untracked,.tmp/imageResolver-testable.mjs,,no,no,no,,tmp,local proof or scratch artifact,,LOCAL_PROOF,no,yes,
/Users/blackforge/workspace/bwe/repos/repo_clean,friday-release-candidate,0ccea48737dd2ff8d8b96bf7d00c59080e765161,c890bb30f410d7a9234aab017b4f965b39f11035,untracked,?,untracked,.tmp/sponsorListings-testable.mjs,,no,no,no,,tmp,local proof or scratch artifact,,LOCAL_PROOF,no,yes,
/Users/blackforge/workspace/bwe/repos/repo_clean,friday-release-candidate,0ccea48737dd2ff8d8b96bf7d00c59080e765161,c890bb30f410d7a9234aab017b4f965b39f11035,M,,modified,docs/audit-evidence/2026-05-07-093558-controlled-launch-verification/05-desktop-page1.html,,no,yes,no,,audit,preserved audit artifact,,AUDIT_EVIDENCE,no,yes,
/Users/blackforge/workspace/bwe/repos/repo_clean,friday-release-candidate,0ccea48737dd2ff8d8b96bf7d00c59080e765161,c890bb30f410d7a9234aab017b4f965b39f11035,M,,modified,docs/audit-evidence/2026-05-07-093558-controlled-launch-verification/05-desktop-page2.html,,no,yes,no,,audit,preserved audit artifact,,AUDIT_EVIDENCE,no,yes,
/Users/blackforge/workspace/bwe/repos/repo_clean,friday-release-candidate,0ccea48737dd2ff8d8b96bf7d00c59080e765161,c890bb30f410d7a9234aab017b4f965b39f11035,M,,modified,docs/audit-evidence/2026-05-07-093558-controlled-launch-verification/05-mobile-page1.html,,no,yes,no,,audit,preserved audit artifact,,AUDIT_EVIDENCE,no,yes,
/Users/blackforge/workspace/bwe/repos/repo_clean,friday-release-candidate,0ccea48737dd2ff8d8b96bf7d00c59080e765161,c890bb30f410d7a9234aab017b4f965b39f11035,M,,modified,docs/audit-evidence/2026-05-07-093558-controlled-launch-verification/05-mobile-page2.html,,no,yes,no,,audit,preserved audit artifact,,AUDIT_EVIDENCE,no,yes,
/Users/blackforge/workspace/bwe/repos/repo_clean,friday-release-candidate,0ccea48737dd2ff8d8b96bf7d00c59080e765161,c890bb30f410d7a9234aab017b4f965b39f11035,M,,modified,docs/audit-evidence/2026-05-07-093558-controlled-launch-verification/07-desktop-winner-page1.html,,no,yes,no,,audit,preserved audit artifact,,AUDIT_EVIDENCE,no,yes,
